node_index,node_id,node_type,node_name,node_source
108160,36210,biological_process,protein modification process in other organism,GO
24420,40051,Phenotype,Abnormality of upper eyelashes,HPO
28640,7763,disease,nonpapillary renal cell carcinoma,MONDO
10330,2979,Protein,GUCA1B,NCBI
11461,50,Protein,ACO2,NCBI
85565,3610,Phenotype,Fibroblast metachromasia,HPO
105248,71364,biological_process,cellular response to epidermal growth factor stimulus,GO
60900,619567,Protein,SNORD2,NCBI
26792,100090,Phenotype,Abnormality of the epiphysis of the proximal phalanx of the 2nd toe,HPO
16069,DB01226,drug,Mivacurium,DrugBank
39431,16348,disease,non-genetic cardiac rhythm disease,MONDO
31637,10947,disease,Budd-Chiari syndrome,MONDO
65190,2786,anatomy,root of abducens nerve,UBERON
96947,4815,disease,osteosclerotic plasma cell myeloma,MONDO
103558,2000513,biological_process,positive regulation of granzyme A production,GO
12808,430,Protein,ASCL2,NCBI
12711,81873,Protein,ARPC5L,NCBI
70820,12292,anatomy,embryonic cloacal fold,UBERON
3945,2537,Protein,IFI6,NCBI
120232,16290,molecular_function,palmitoyl-CoA hydrolase activity,GO
124090,106276,molecular_function,biliberdin reductase NAD+ activity,GO
106237,1990299,biological_process,Bub1-Bub3 complex localization to kinetochore,GO
44616,2001286,biological_process,regulation of caveolin-mediated endocytosis,GO
107359,39677,biological_process,exit of virus from host cell nucleus via nuclear envelope disassembly,GO
37407,19296,disease,subcutaneous tissue disease,MONDO
53992,16887,molecular_function,ATPase,GO
72775,22283,anatomy,pineal recess of third ventricle,UBERON
6329,627,Protein,BDNF,NCBI
59906,317703,Protein,VN1R4,NCBI
15031,DB08970,drug,Fluprednidene,DrugBank
78171,106481228,Protein,RNU6-167P,NCBI
88744,11457,Phenotype,Loss of eyelashes,HPO
104133,48208,biological_process,COPII vesicle coating,GO
14889,DB03147,drug,Flavin adenine dinucleotide,DrugBank
75192,2002101,anatomy,branchiostegal ray series,UBERON
65361,2967,anatomy,cingulate gyrus,UBERON
65874,3605,anatomy,eye skin gland,UBERON
124808,30122,cellular_component,AP-2 adaptor complex,GO
120577,31473,molecular_function,myosin III binding,GO
14777,DB06111,drug,AB192,DrugBank
112694,2485,biological_process,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",GO
77698,106635535,Protein,RN7SKP173,NCBI
88775,11511,Phenotype,Macular schisis,HPO
10867,84342,Protein,COG8,NCBI
71702,14847,anatomy,vastus intermedius,UBERON
33437,11381,disease,dominant beta-thalassemia,MONDO
109652,50930,biological_process,induction of positive chemotaxis,GO
100798,18416,biological_process,nickel incorporation into iron-sulfur cluster via tris-L-cysteinyl L-cysteine persulfido bis-L-glutamato L-histidino nickel triiron disulfide trioxide,GO
21885,DB12137,drug,GSK-256066,DrugBank
83655,200844,Protein,CFAP20DC,NCBI
20040,DB02201,drug,Malonate Ion,DrugBank
84212,1445,disease,obsolete neurogenic bladder (disease),MONDO
112479,33169,biological_process,histone H3-K9 demethylation,GO
1472,8649,Protein,LAMTOR3,NCBI
109262,1904976,biological_process,cellular response to bleomycin,GO
57471,399888,Protein,FAM180B,NCBI
34475,256536,Protein,TCERG1L,NCBI
128670,R-HSA-5619073,pathway,Defective GCK causes maturity-onset diabetes of the young 2 (MODY2),REACTOME
86745,6645,Phenotype,Thin clavicles,HPO
41642,46394,biological_process,carboxylic acid biosynthetic process,GO
113775,60385,biological_process,axonogenesis involved in innervation,GO
98525,18525,disease,solid pseudopapillary carcinoma of pancreas,MONDO
61990,C065087,exposure,di-n-butylphosphoric acid,CTD
61878,D000452,exposure,Aldrin,CTD
29474,11472,disease,epidermolysis bullosa simplex due to plakophilin deficiency,MONDO
124496,97423,cellular_component,mitochondrion-associated adherens complex,GO
5154,25759,Protein,SHC2,NCBI
79179,100874502,Protein,ATP6V0E1P1,NCBI
128125,R-HSA-2142816,pathway,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),REACTOME
87837,9456,Phenotype,Triangular shaped proximal phalanx of the 3rd finger,HPO
89185,12196,Phenotype,Cheyne-Stokes respiration,HPO
62193,D000487,exposure,Allethrins,CTD
2097,8115,Protein,TCL1A,NCBI
18902,DB02860,drug,Calyculin A,DrugBank
112929,72094,biological_process,metanephric renal vesicle induction,GO
80593,100506769,Protein,C10orf71-AS1,NCBI
116651,15624,molecular_function,ABC-type ferric-enterobactin transporter activity,GO
57869,64005,Protein,MYO1G,NCBI
39174,15589_15594_15590,disease,paraneoplastic limbic encephalitis,MONDO_grouped
127369,44218,cellular_component,other organism cell membrane,GO
118652,33411,molecular_function,UAA codon-amino acid adaptor activity,GO
70516,11766,anatomy,left recurrent laryngeal nerve,UBERON
63473,1004,anatomy,respiratory system,UBERON
75373,2005118,anatomy,middle lateral line primordium,UBERON
4083,3030,Protein,HADHA,NCBI
103499,2527,biological_process,vasodilation involved in acute inflammatory response,GO
2968,7005,Protein,TEAD3,NCBI
4851,115752,Protein,DIS3L,NCBI
70685,12063,anatomy,lobar bronchus of right lung middle lobe,UBERON
23495,7256,Phenotype,Abnormal pyramidal sign,HPO
121462,52658,molecular_function,"inositol-1,4,5-trisphosphate 5-phosphatase activity",GO
63482,1015,anatomy,musculature,UBERON
100837,71770,biological_process,DIM/DIP cell wall layer assembly,GO
27295,9288_9287,disease,glycogen storage disease due to glucose-6-phosphatase deficiency,MONDO_grouped
35933,44335,disease,benign soft tissue neoplasm,MONDO
109389,46061,biological_process,dATP catabolic process,GO
56486,401647,Protein,GOLGA7B,NCBI
100724,70617,biological_process,negative regulation of thiamine diphosphate biosynthetic process,GO
2571,26233,Protein,FBXL6,NCBI
126163,1990474,cellular_component,"synaptic vesicle, readily releasable pool",GO
72931,25593,anatomy,serotonergic system,UBERON
99741,42915,disease,Schmitt-Gillenwater-Kelly syndrome,MONDO
98258,17245,disease,intralobar congenital pulmonary sequestration,MONDO
54992,15591,molecular_function,D-ribose transmembrane transporter activity,GO
122238,47727,molecular_function,isobutyryl-CoA mutase activity,GO
61132,100033809,Protein,SNORD115-35,NCBI
62481,R-HSA-167172,pathway,Transcription of the HIV genome,REACTOME
39822,44745,disease,nervous system injury,MONDO
112675,45106,biological_process,intermediate filament depolymerization,GO
94931,6831,disease,leukostasis,MONDO
57625,729515,Protein,TMEM242,NCBI
24436,529,Phenotype,Progressive visual loss,HPO
18116,DB07905,drug,"(1aR,8S,13S,14S,15aR)-5,13,14-trihydroxy-3-methoxy-8-methyl-8,9,13,14,15,15a-hexahydro-6H-oxireno[k][2]benzoxacyclotetradecine-6,12(1aH)-dione",DrugBank
39722,16086,disease,osteochondritis of tarsal/metatarsal bone,MONDO
35164,407020,Protein,MIR28,NCBI
119321,45520,molecular_function,interleukin-24 receptor binding,GO
93415,100477,Phenotype,Symphalangism affecting the distal phalanx of the 4th toe,HPO
31918,9861_19259_16366_19258,disease,phenylketonuria,MONDO_grouped
108447,48006,biological_process,"antigen processing and presentation, endogenous lipid antigen via MHC class Ib",GO
124607,97420,cellular_component,skein-like inclusion,GO
110884,19710,biological_process,peptidyl-asparagine methylation,GO
4988,284904,Protein,SEC14L4,NCBI
28881,30044_20789_18828_9626,disease,pseudo-TORCH syndrome,MONDO_grouped
123572,102391,molecular_function,decanoate-CoA ligase activity,GO
53272,9757,biological_process,hexose mediated signaling,GO
103125,35600,biological_process,tRNA methylthiolation,GO
328,25959,Protein,KANK2,NCBI
42033,1904641,biological_process,response to dinitrophenol,GO
40207,2000015,biological_process,regulation of determination of dorsal identity,GO
5112,81833,Protein,SPACA1,NCBI
34086,373156,Protein,GSTK1,NCBI
34772,100422981,Protein,MIR3173,NCBI
112858,48527,biological_process,lateral root development,GO
66994,5023,anatomy,mucosa of oropharynx,UBERON
38796,100148,disease,X-linked complex neurodevelopmental disorder,MONDO
120182,8110,molecular_function,L-histidine:2-oxoglutarate aminotransferase activity,GO
115487,90704,molecular_function,nicotinate-O-glucosyltransferase activity,GO
60571,100132916,Protein,SHISAL2B,NCBI
71378,13777,anatomy,skin of palm of manus,UBERON
119356,4962,molecular_function,endothelin receptor activity,GO
82658,728599,Protein,CIAPIN1P,NCBI
43170,15840,biological_process,urea transport,GO
34983,29851,Protein,ICOS,NCBI
49759,61118,biological_process,regulation of positive chemotaxis to cAMP,GO
22035,407053,Protein,MIR96,NCBI
71619,14708,anatomy,costal plate of carapace,UBERON
86012,4866,Phenotype,Impaired ADP-induced platelet aggregation,HPO
33022,18971,disease,isolated oxycephaly,MONDO
27193,7774,disease,hyperreflexia (disease),MONDO
19886,DB04865,drug,Omacetaxine mepesuccinate,DrugBank
63013,R-HSA-9637679,pathway,Escape of Mtb from the phagocyte,REACTOME
102061,1901770,biological_process,daunorubicin catabolic process,GO
118627,33447,molecular_function,AGA codon-amino acid adaptor activity,GO
57356,340547,Protein,VSIG1,NCBI
10238,9208,Protein,LRRFIP1,NCBI
8311,55657,Protein,ZNF692,NCBI
100992,33026,biological_process,negative regulation of mast cell apoptotic process,GO
57881,94160,Protein,ABCC12,NCBI
6697,58505,Protein,OSTC,NCBI
61883,C001864,exposure,aluminum phosphide,CTD
91365,31783,Phenotype,Absent coronary sinus,HPO
124996,5965,cellular_component,protein farnesyltransferase complex,GO
94614,4997,disease,chondroblastoma (disease),MONDO
83451,401561,Protein,LINC01451,NCBI
118646,33420,molecular_function,CUG codon-amino acid adaptor activity,GO
41492,55023,biological_process,positive regulation of cardiac muscle tissue growth,GO
79201,100874337,Protein,PLCB1-IT1,NCBI
54642,4748,molecular_function,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",GO
57106,157310,Protein,PEBP4,NCBI
62687,R-HSA-397014,pathway,Muscle contraction,REACTOME
114856,97622,biological_process,cytoplasmic translational elongation through polyproline stretches,GO
10654,111,Protein,ADCY5,NCBI
87880,9531,Phenotype,Pseudoepiphysis of the proximal phalanx of the 2nd finger,HPO
67947,6322,anatomy,inferior rectus extraocular muscle,UBERON
2328,8740,Protein,TNFSF14,NCBI
70677,11985,anatomy,infraorbital sinus,UBERON
17495,DB00020,drug,Sargramostim,DrugBank
80579,100874058,Protein,COX10-AS1,NCBI
31486,11024,disease,"dermatitis herpetiformis, familial",MONDO
22851,1693,Phenotype,Cardiac shunt,HPO
79616,26742,Protein,OR1H1P,NCBI
95571,1512,disease,intermittent proptosis,MONDO
44201,1902683,biological_process,regulation of receptor localization to synapse,GO
102672,2000992,biological_process,negative regulation of galactomannan catabolic process,GO
68780,8196,anatomy,muscle of pectoral girdle,UBERON
100249,61379,biological_process,inferior colliculus development,GO
4116,5671,Protein,PSG3,NCBI
60271,284071,Protein,MEIOC,NCBI
110243,120116,biological_process,glucagon processing,GO
117726,47742,molecular_function,chenodeoxycholoyltaurine hydrolase activity,GO
120283,31005,molecular_function,filamin binding,GO
50332,72331,biological_process,signal transduction by p53 class mediator,GO
41084,7030,biological_process,Golgi organization,GO
85209,2639,Phenotype,Budd-Chiari syndrome,HPO
32595,18217,disease,Koolen-de Vries syndrome due to a point mutation,MONDO
34059,1585,Protein,CYP11B2,NCBI
69718,10231,anatomy,anatomical line between outer ears,UBERON
92866,40182,Phenotype,Inappropriate sinus tachycardia,HPO
116538,102806,molecular_function,"4-coumaroyl-CoA:cyanidin-3,5-diglucoside-6''-O-acyltransferase activity",GO
108589,19668,biological_process,anaerobic catabolism of pairs of amino acids,GO
76219,3010736,anatomy,ramus posterior of CN VIII,UBERON
30843,9985,disease,retinohepatoendocrinologic syndrome,MONDO
118405,18566,molecular_function,"1,2-dihydroxynaphthalene-6-sulfonate 1,8a-dioxygenase activity",GO
18742,DB07713,drug,"(1S)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",DrugBank
4402,10143,Protein,CLEC3A,NCBI
97516,6829,disease,leukemoid reaction,MONDO
90086,25492,Phenotype,Microcoria,HPO
36560,1429,disease,transient arthropathy,MONDO
83912,2309_2308,disease,papillary conjunctivitis,MONDO_grouped
90792,30958,Phenotype,Membranous ventricular septal aneurysm,HPO
117890,47814,molecular_function,D-arabinokinase activity,GO
80131,727826,Protein,RPS11P5,NCBI
52080,140207,biological_process,tripeptide import across plasma membrane,GO
53746,16717,molecular_function,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",GO
53598,31406,molecular_function,carboxylic acid binding,GO
80613,100009667,Protein,POU5F1P5,NCBI
88310,10592,Phenotype,Abnormality of the distal tibial epiphysis,HPO
121441,35237,molecular_function,corazonin receptor activity,GO
5908,4303,Protein,FOXO4,NCBI
8098,55686,Protein,MREG,NCBI
75100,2001995,anatomy,papilla,UBERON
86191,5261,Phenotype,Joint hemorrhage,HPO
75518,2102029,anatomy,pectoral fin proximal radial element 4,UBERON
122945,30957,molecular_function,Tat protein binding,GO
58659,8941,Protein,CDK5R2,NCBI
20284,DB12615,drug,Plazomicin,DrugBank
35875,881,disease,"myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1",MONDO
4118,26147,Protein,PHF19,NCBI
8497,26086,Protein,GPSM1,NCBI
56119,32173,cellular_component,septin collar,GO
18765,DB07300,drug,"2-(1H-imidazol-1-yl)-9-methoxy-8-(2-methoxyethoxy)benzo[c][2,7]naphthyridin-4-amine",DrugBank
110259,51483,biological_process,"terpenoid biosynthetic process, mevalonate-independent",GO
97830,12007,disease,"scimitar anomaly, multiple cardiac malformations, and craniofacial and central nervous system abnormalities",MONDO
8074,80143,Protein,SIKE1,NCBI
49133,46098,biological_process,guanine metabolic process,GO
33471,19784,disease,12q14 microdeletion syndrome,MONDO
96933,4769,disease,orbital plasma cell granuloma,MONDO
57485,401507,Protein,FAM74A1,NCBI
64319,1878,anatomy,septofimbrial nucleus,UBERON
62791,R-HSA-5654732,pathway,Negative regulation of FGFR3 signaling,REACTOME
226,7307,Protein,U2AF1,NCBI
123494,38117,molecular_function,C-C motif chemokine 19 receptor activity,GO
38961,15492_5435,disease,anti-neutrophil antibody associated vasculitis,MONDO_grouped
35576,5943,disease,Rhabditida infectious disease,MONDO
14956,DB00564,drug,Carbamazepine,DrugBank
38375,20240,disease,syndromic retinitis pigmentosa,MONDO
121088,102706,molecular_function,butein:oxygen oxidoreductase activity,GO
99204,22636,disease,candida glabrata,MONDO
52279,1900363,biological_process,regulation of mRNA polyadenylation,GO
74105,2000226,anatomy,lateral ethmoid bone,UBERON
104536,61451,biological_process,retrotrapezoid nucleus development,GO
100237,61027,biological_process,umbilical cord development,GO
27198,32659,disease,"mucocutaneous ulceration, chronic",MONDO
49551,51965,biological_process,positive regulation of synapse assembly,GO
59033,266665,Protein,TAS2R33,NCBI
58375,51450,Protein,PRRX2,NCBI
110149,36061,biological_process,muscle cell chemotaxis toward tendon cell,GO
111571,35665,biological_process,TIRAP-dependent toll-like receptor 4 signaling pathway,GO
42740,32975,biological_process,amino acid transmembrane import into vacuole,GO
60224,440270,Protein,GOLGA8B,NCBI
43735,6522,biological_process,alanine metabolic process,GO
122923,43992,molecular_function,histone acetyltransferase activity (H3-K9 specific),GO
80817,645030,Protein,NFIA-AS1,NCBI
5346,6827,Protein,SUPT4H1,NCBI
124092,18577,molecular_function,"catechol 2,3-dioxygenase activity",GO
123067,17103,molecular_function,UTP:galactose-1-phosphate uridylyltransferase activity,GO
119784,31833,molecular_function,type 7 serotonin receptor binding,GO
12124,8509,Protein,NDST2,NCBI
83846,6913,disease,pneumococcal meningitis,MONDO
124644,70724,cellular_component,BMP receptor complex,GO
123216,31765,molecular_function,type 2 galanin receptor binding,GO
89295,12376,Phenotype,Microphakia,HPO
128410,R-HSA-139853,pathway,Elevation of cytosolic Ca2+ levels,REACTOME
41545,1901524,biological_process,regulation of mitophagy,GO
84296,1821,disease,hypoactive sexual desire disorder,MONDO
61747,D019833,exposure,Genistein,CTD
102019,1901871,biological_process,ecgonone methyl ester catabolic process,GO
73565,35677,anatomy,primary yolk sac cavity,UBERON
127654,R-HSA-1433617,pathway,Regulation of signaling by NODAL,REACTOME
86865,6964,Phenotype,Cerebral cortical neurodegeneration,HPO
99695,34216,disease,resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha,MONDO
90785,30939,Phenotype,Palpebral thickening,HPO
124708,35868,cellular_component,alphav-beta3 integrin-HMGB1 complex,GO
48224,1904505,biological_process,regulation of telomere maintenance in response to DNA damage,GO
81043,728953,Protein,RPS19P3,NCBI
87176,7800,Phenotype,Increased axial length of the globe,HPO
98521,18503,disease,"carcinoma of stomach, salivary gland type",MONDO
43157,2001112,biological_process,regulation of cellular response to hepatocyte growth factor stimulus,GO
47677,2478,biological_process,antigen processing and presentation of exogenous peptide antigen,GO
93737,410151,Phenotype,Eosinophilic infiltration of the esophagus,HPO
21233,DB13240,drug,Cymarin,DrugBank
12995,252884,Protein,ZNF396,NCBI
126467,98575,cellular_component,lumenal side of lysosomal membrane,GO
50316,8348,biological_process,negative regulation of antimicrobial humoral response,GO
11541,205860,Protein,TRIML2,NCBI
575,5089,Protein,PBX2,NCBI
38486,17427,disease,congenital deformities of limbs,MONDO
85420,3269,Phenotype,Sudanophilic leukodystrophy,HPO
81082,100271384,Protein,RPS29P22,NCBI
32410,19597,disease,"46,XY disorder of sex development due to isolated 17,20-lyase deficiency",MONDO
36550,626,disease,vestibular gland benign neoplasm,MONDO
108014,33023,biological_process,mast cell homeostasis,GO
104506,140201,biological_process,urea import across plasma membrane,GO
24893,9613,Phenotype,Duplication of the proximal phalanx of the thumb,HPO
14616,DB09214,drug,Dexketoprofen,DrugBank
98947,21279,disease,mucoepidermoid carcinoma of submandibular gland,MONDO
119289,102979,molecular_function,homofuraneol oxidoreductase activity,GO
16540,DB04657,drug,Carboxin,DrugBank
43538,10508,biological_process,positive regulation of autophagy,GO
27065,410383,Phenotype,"Abnormal proportion of effector memory CD8-positive, alpha-beta T cells",HPO
55286,140487,molecular_function,metal ion sequestering activity,GO
3686,51311,Protein,TLR8,NCBI
6418,2752,Protein,GLUL,NCBI
20289,DB00766,drug,Clavulanic acid,DrugBank
80763,100270914,Protein,RPS7P12,NCBI
10609,8187,Protein,ZNF239,NCBI
55338,4690,molecular_function,cyclic nucleotide-dependent protein kinase activity,GO
67851,6211,anatomy,buccopharyngeal membrane,UBERON
90928,31166,Phenotype,Eyelid myokymia,HPO
124613,70088,cellular_component,PHA granule,GO
115351,46565,molecular_function,3-dehydroshikimate dehydratase activity,GO
12829,440574,Protein,MICOS10,NCBI
84009,20920,disease,escherichia coli infection,MONDO
3064,3579,Protein,CXCR2,NCBI
102442,1990553,biological_process,mitochondrial 5'-adenylyl sulfate transmembrane transport,GO
103779,61060,biological_process,negative regulation of peptidoglycan recognition protein signaling pathway,GO
1841,6047,Protein,RNF4,NCBI
